text,category
Rs.3137.75 Dr. from A/C XXXXXXXX and Cr. to YOUTUBE PREMIUM. Ref:371460393683. AvlBal:Rs30299.15.,Entertainment
Rs.1391.48 Dr. from A/C XXXXXXXX and Cr. to SUPERMARKET. Ref:964000043597. AvlBal:Rs12403.13.,Groceries
Rs.3964.65 Dr. from A/C XXXXXXXX and Cr. to UPSTOX. Ref:331059322816. AvlBal:Rs2179.13.,Investment
Rs.4465.4 Dr. from A/C XXXXXXXX and Cr. to LEARNING PLATFORM. Ref:706334150726. AvlBal:Rs11838.43.,Education
Rs.3672.24 Dr. from A/C XXXXXXXX and Cr. to ONLINE RECHARGE. Ref:823061240040. AvlBal:Rs5456.87.,Bills & Utilities
Rs.1135.82 Dr. from A/C XXXXXXXX and Cr. to PETROL BUNK. Ref:829715341136. AvlBal:Rs21258.61.,Transport
Rs.1944.44 Dr. from A/C XXXXXXXX and Cr. to KUVERA. Ref:129560879242. AvlBal:Rs2426.48.,Investment
Rs.2827.47 Dr. from A/C XXXXXXXX and Cr. to BESCOM. Ref:180652918253. AvlBal:Rs15855.82.,Bills & Utilities
Rs.4394.08 Dr. from A/C XXXXXXXX and Cr. to BANK CHARGES. Ref:973865661904. AvlBal:Rs17257.24.,Other
Rs.4034.95 Dr. from A/C XXXXXXXX and Cr. to HATHWAY. Ref:305141521446. AvlBal:Rs41777.04.,Bills & Utilities
Rs.1131.12 Dr. from A/C XXXXXXXX and Cr. to BOX8. Ref:119536508255. AvlBal:Rs12783.57.,Food & Dining
Rs.2554.24 Dr. from A/C XXXXXXXX and Cr. to CAB PAYMENT. Ref:795753280158. AvlBal:Rs38763.64.,Transport
Rs.1832.09 Dr. from A/C XXXXXXXX and Cr. to SUBWAY. Ref:409113855570. AvlBal:Rs10334.15.,Food & Dining
Rs.1433.24 Dr. from A/C XXXXXXXX and Cr. to SPAR. Ref:107406831897. AvlBal:Rs27580.49.,Groceries
Rs.2753.68 Dr. from A/C XXXXXXXX and Cr. to CAFE. Ref:611815365536. AvlBal:Rs37615.13.,Food & Dining
Rs.3828.15 Dr. from A/C XXXXXXXX and Cr. to ONLINE FOOD. Ref:410028308421. AvlBal:Rs7973.35.,Food & Dining
Rs.930.92 Dr. from A/C XXXXXXXX and Cr. to SCALER. Ref:144732782548. AvlBal:Rs9046.16.,Education
Rs.639.5 Dr. from A/C XXXXXXXX and Cr. to STAR BAZAAR. Ref:941026886041. AvlBal:Rs34045.09.,Groceries
Rs.226.37 Dr. from A/C XXXXXXXX and Cr. to AMAZON. Ref:534998601139. AvlBal:Rs45220.46.,Shopping
Rs.4979.08 Dr. from A/C XXXXXXXX and Cr. to MYNTRA. Ref:239660469745. AvlBal:Rs15054.42.,Shopping
Rs.4038.28 Dr. from A/C XXXXXXXX and Cr. to ONLINE TRANSFER. Ref:507819029975. AvlBal:Rs23043.77.,Other
Rs.2034.71 Dr. from A/C XXXXXXXX and Cr. to SCHOOL FEES. Ref:862802357071. AvlBal:Rs39147.6.,Education
Rs.3498.75 Dr. from A/C XXXXXXXX and Cr. to SIP PAYMENT. Ref:144314967847. AvlBal:Rs40553.95.,Investment
Rs.4522.6 Dr. from A/C XXXXXXXX and Cr. to MCDONALDS. Ref:545075045576. AvlBal:Rs16317.84.,Food & Dining
Rs.2213.31 Dr. from A/C XXXXXXXX and Cr. to HP PETROL. Ref:598345319038. AvlBal:Rs42142.92.,Transport
Rs.4869.19 Dr. from A/C XXXXXXXX and Cr. to MORE SUPERMARKET. Ref:380450520474. AvlBal:Rs33303.07.,Groceries
Rs.3790.99 Dr. from A/C XXXXXXXX and Cr. to BURGER KING. Ref:451536938659. AvlBal:Rs26258.8.,Food & Dining
Rs.3193.49 Dr. from A/C XXXXXXXX and Cr. to BIGBASKET DAILY. Ref:572822713106. AvlBal:Rs8753.09.,Groceries
Rs.4807.75 Dr. from A/C XXXXXXXX and Cr. to UPGRAD. Ref:563159210473. AvlBal:Rs2106.35.,Education
Rs.4867.09 Dr. from A/C XXXXXXXX and Cr. to INDIAN RAILWAYS. Ref:832766061253. AvlBal:Rs49207.16.,Transport
Rs.1690.58 Dr. from A/C XXXXXXXX and Cr. to MERCHANT STORE. Ref:294620632766. AvlBal:Rs44466.37.,Shopping
Rs.3112.73 Dr. from A/C XXXXXXXX and Cr. to SUBSCRIPTION. Ref:373208460904. AvlBal:Rs24521.41.,Entertainment
Rs.3981.49 Dr. from A/C XXXXXXXX and Cr. to BIGBASKET. Ref:394330467422. AvlBal:Rs44332.58.,Groceries
Rs.2749.92 Dr. from A/C XXXXXXXX and Cr. to SCHOOL FEES. Ref:287906458261. AvlBal:Rs21620.7.,Education
Rs.492.31 Dr. from A/C XXXXXXXX and Cr. to ZERODHA. Ref:474069218191. AvlBal:Rs27345.73.,Investment
Rs.578.82 Dr. from A/C XXXXXXXX and Cr. to COURSERA. Ref:654462063908. AvlBal:Rs39368.97.,Education
Rs.963.79 Dr. from A/C XXXXXXXX and Cr. to REVERSAL. Ref:380225544014. AvlBal:Rs22502.53.,Other
Rs.3900.16 Dr. from A/C XXXXXXXX and Cr. to BURGER KING. Ref:392291488015. AvlBal:Rs43468.56.,Food & Dining
Rs.2974.42 Dr. from A/C XXXXXXXX and Cr. to CHAI POINT. Ref:288965957822. AvlBal:Rs49845.63.,Food & Dining
Rs.4455.66 Dr. from A/C XXXXXXXX and Cr. to RETAIL SHOP. Ref:158073870387. AvlBal:Rs4468.25.,Shopping
Rs.2589.46 Dr. from A/C XXXXXXXX and Cr. to SPAR. Ref:251523890418. AvlBal:Rs24347.73.,Groceries
Rs.4009.2 Dr. from A/C XXXXXXXX and Cr. to WESTSIDE. Ref:453959550790. AvlBal:Rs38332.72.,Shopping
Rs.4377.98 Dr. from A/C XXXXXXXX and Cr. to CERTIFICATION FEE. Ref:426064517783. AvlBal:Rs14626.34.,Education
Rs.246.6 Dr. from A/C XXXXXXXX and Cr. to WYNK MUSIC. Ref:600214801319. AvlBal:Rs49759.51.,Entertainment
Rs.198.02 Dr. from A/C XXXXXXXX and Cr. to CLINIC VISIT. Ref:616226688015. AvlBal:Rs20721.91.,Health
Rs.4613.53 Dr. from A/C XXXXXXXX and Cr. to ONLINE FOOD. Ref:908664853027. AvlBal:Rs14530.64.,Food & Dining
Rs.4788.24 Dr. from A/C XXXXXXXX and Cr. to SNAPDEAL. Ref:592187534465. AvlBal:Rs39994.17.,Shopping
Rs.3824.67 Dr. from A/C XXXXXXXX and Cr. to TRANSPORT. Ref:701676747889. AvlBal:Rs4554.88.,Transport
Rs.486.79 Dr. from A/C XXXXXXXX and Cr. to ZUDIO. Ref:675952711307. AvlBal:Rs40396.17.,Shopping
Rs.3286.67 Dr. from A/C XXXXXXXX and Cr. to YOUTUBE PREMIUM. Ref:633261147724. AvlBal:Rs15384.76.,Entertainment
Rs.1548.48 Dr. from A/C XXXXXXXX and Cr. to REVERSAL. Ref:429937287099. AvlBal:Rs44139.22.,Other
Rs.3951.05 Dr. from A/C XXXXXXXX and Cr. to INDIAN OIL. Ref:630920973134. AvlBal:Rs38908.26.,Transport
Rs.2591.81 Dr. from A/C XXXXXXXX and Cr. to ONLINE SHOPPING. Ref:769065817174. AvlBal:Rs15356.94.,Shopping
Rs.1177.29 Dr. from A/C XXXXXXXX and Cr. to AMAZON. Ref:824828050598. AvlBal:Rs47642.53.,Shopping
Rs.1270.76 Dr. from A/C XXXXXXXX and Cr. to GAS BILL. Ref:137310852552. AvlBal:Rs32212.4.,Bills & Utilities
Rs.2521.76 Dr. from A/C XXXXXXXX and Cr. to REVERSAL. Ref:505615030274. AvlBal:Rs4147.97.,Other
Rs.1147.26 Dr. from A/C XXXXXXXX and Cr. to HP GAS. Ref:619962094303. AvlBal:Rs40600.57.,Bills & Utilities
Rs.1461.41 Dr. from A/C XXXXXXXX and Cr. to VEDANTU. Ref:791404430421. AvlBal:Rs41906.93.,Education
Rs.68.41 Dr. from A/C XXXXXXXX and Cr. to MEESHO. Ref:588809577559. AvlBal:Rs34954.66.,Shopping
Rs.3789.72 Dr. from A/C XXXXXXXX and Cr. to FASTAG. Ref:931953227345. AvlBal:Rs25228.4.,Transport
Rs.4648.86 Dr. from A/C XXXXXXXX and Cr. to MISC. Ref:118322966428. AvlBal:Rs34159.0.,Other
Rs.429.39 Dr. from A/C XXXXXXXX and Cr. to MX PLAYER. Ref:831220042501. AvlBal:Rs37801.72.,Entertainment
Rs.917.66 Dr. from A/C XXXXXXXX and Cr. to CLINIC VISIT. Ref:239698804685. AvlBal:Rs14900.33.,Health
Rs.1152.08 Dr. from A/C XXXXXXXX and Cr. to COURSERA. Ref:623187945871. AvlBal:Rs14347.09.,Education
Rs.1371.05 Dr. from A/C XXXXXXXX and Cr. to DOMINOS. Ref:165558706734. AvlBal:Rs12775.09.,Food & Dining
Rs.4808.25 Dr. from A/C XXXXXXXX and Cr. to MORE SUPERMARKET. Ref:729011782807. AvlBal:Rs37476.38.,Groceries
Rs.733.76 Dr. from A/C XXXXXXXX and Cr. to ENTERTAINMENT. Ref:903966404965. AvlBal:Rs1860.62.,Entertainment
Rs.104.92 Dr. from A/C XXXXXXXX and Cr. to NETFLIX. Ref:709476083536. AvlBal:Rs36529.07.,Entertainment
Rs.374.97 Dr. from A/C XXXXXXXX and Cr. to EDX. Ref:709791504403. AvlBal:Rs27152.68.,Education
Rs.2990.79 Dr. from A/C XXXXXXXX and Cr. to CHAI POINT. Ref:678095008355. AvlBal:Rs38635.8.,Food & Dining
Rs.308.76 Dr. from A/C XXXXXXXX and Cr. to GOVERNMENT HOSPITAL. Ref:440136327117. AvlBal:Rs32242.66.,Health
Rs.980.0 Dr. from A/C XXXXXXXX and Cr. to APOLLO PHARMACY. Ref:373035962892. AvlBal:Rs45587.2.,Health
Rs.840.72 Dr. from A/C XXXXXXXX and Cr. to TATA CLIQ. Ref:954948051949. AvlBal:Rs4038.95.,Shopping
Rs.873.81 Dr. from A/C XXXXXXXX and Cr. to MOBILE RECHARGE. Ref:476479956816. AvlBal:Rs46386.42.,Bills & Utilities
Rs.3923.27 Dr. from A/C XXXXXXXX and Cr. to DINING. Ref:810400249810. AvlBal:Rs40089.39.,Food & Dining
Rs.765.93 Dr. from A/C XXXXXXXX and Cr. to TATA PLAY. Ref:978740698287. AvlBal:Rs21452.18.,Bills & Utilities
Rs.304.81 Dr. from A/C XXXXXXXX and Cr. to AJIO. Ref:981449184698. AvlBal:Rs23424.23.,Shopping
Rs.3940.19 Dr. from A/C XXXXXXXX and Cr. to TRADING. Ref:654840451452. AvlBal:Rs13526.47.,Investment
Rs.2270.63 Dr. from A/C XXXXXXXX and Cr. to PHARMEASY. Ref:499705661680. AvlBal:Rs49864.9.,Health
Rs.3077.01 Dr. from A/C XXXXXXXX and Cr. to INVESTMENT. Ref:130562024088. AvlBal:Rs12355.33.,Investment
Rs.3881.33 Dr. from A/C XXXXXXXX and Cr. to UPSTOX. Ref:349383081175. AvlBal:Rs31845.02.,Investment
Rs.3165.65 Dr. from A/C XXXXXXXX and Cr. to POS SHOP. Ref:450817141052. AvlBal:Rs42691.28.,Shopping
Rs.4275.16 Dr. from A/C XXXXXXXX and Cr. to WYNK MUSIC. Ref:437521113943. AvlBal:Rs15163.22.,Entertainment
Rs.937.6 Dr. from A/C XXXXXXXX and Cr. to INOX. Ref:509185216218. AvlBal:Rs1118.77.,Entertainment
Rs.1771.71 Dr. from A/C XXXXXXXX and Cr. to GROWW. Ref:883798324244. AvlBal:Rs8136.31.,Investment
Rs.1800.58 Dr. from A/C XXXXXXXX and Cr. to MISC. Ref:389702358919. AvlBal:Rs18072.65.,Other
Rs.2696.72 Dr. from A/C XXXXXXXX and Cr. to SUN DIRECT. Ref:718328536451. AvlBal:Rs40212.43.,Bills & Utilities
Rs.342.0 Dr. from A/C XXXXXXXX and Cr. to MEDPLUS. Ref:838353422780. AvlBal:Rs21565.55.,Health
Rs.4772.29 Dr. from A/C XXXXXXXX and Cr. to IRCTC. Ref:865499424663. AvlBal:Rs43583.19.,Transport
Rs.2757.09 Dr. from A/C XXXXXXXX and Cr. to YOUTUBE PREMIUM. Ref:980372454593. AvlBal:Rs37535.87.,Entertainment
Rs.669.25 Dr. from A/C XXXXXXXX and Cr. to EVENT BOOKING. Ref:283829130949. AvlBal:Rs2134.58.,Entertainment
Rs.1834.37 Dr. from A/C XXXXXXXX and Cr. to POS TRANSACTION. Ref:449655304208. AvlBal:Rs22011.58.,Other
Rs.2190.99 Dr. from A/C XXXXXXXX and Cr. to TNEB. Ref:546585970063. AvlBal:Rs28031.96.,Bills & Utilities
Rs.3344.87 Dr. from A/C XXXXXXXX and Cr. to FIRSTCRY. Ref:862688286095. AvlBal:Rs20706.83.,Shopping
Rs.2957.12 Dr. from A/C XXXXXXXX and Cr. to TRADING. Ref:805058402955. AvlBal:Rs42405.33.,Investment
Rs.4590.52 Dr. from A/C XXXXXXXX and Cr. to SUN NXT. Ref:932461126740. AvlBal:Rs33272.39.,Entertainment
Rs.982.37 Dr. from A/C XXXXXXXX and Cr. to NETMEDS. Ref:952714814423. AvlBal:Rs5721.67.,Health
Rs.525.86 Dr. from A/C XXXXXXXX and Cr. to LAB TEST. Ref:695239596255. AvlBal:Rs2512.72.,Health
Rs.658.01 Dr. from A/C XXXXXXXX and Cr. to YOUTUBE PREMIUM. Ref:958049279244. AvlBal:Rs42920.97.,Entertainment
Rs.751.3 Dr. from A/C XXXXXXXX and Cr. to STREAMING. Ref:776975701313. AvlBal:Rs400.56.,Entertainment
Rs.1870.05 Dr. from A/C XXXXXXXX and Cr. to SARAVANA BHAVAN. Ref:818589159666. AvlBal:Rs19942.86.,Food & Dining
Rs.834.03 Dr. from A/C XXXXXXXX and Cr. to HATHWAY. Ref:874252381682. AvlBal:Rs49802.99.,Bills & Utilities
Rs.3094.46 Dr. from A/C XXXXXXXX and Cr. to BHARAT PETROLEUM. Ref:700058162060. AvlBal:Rs46750.12.,Transport
Rs.4986.7 Dr. from A/C XXXXXXXX and Cr. to BEHROUZ BIRYANI. Ref:454440254048. AvlBal:Rs2080.47.,Food & Dining
Rs.1677.76 Dr. from A/C XXXXXXXX and Cr. to AIRTEL. Ref:506121067691. AvlBal:Rs15348.4.,Bills & Utilities
Rs.1455.54 Dr. from A/C XXXXXXXX and Cr. to REFUND. Ref:219033788259. AvlBal:Rs4704.96.,Other
Rs.1034.22 Dr. from A/C XXXXXXXX and Cr. to VIJAY SALES. Ref:887620343891. AvlBal:Rs49025.51.,Shopping
Rs.3705.68 Dr. from A/C XXXXXXXX and Cr. to UNKNOWN MERCHANT. Ref:108209395473. AvlBal:Rs26221.31.,Other
Rs.3260.15 Dr. from A/C XXXXXXXX and Cr. to ENTERTAINMENT. Ref:316602877233. AvlBal:Rs15389.59.,Entertainment
Rs.689.35 Dr. from A/C XXXXXXXX and Cr. to IPO APPLICATION. Ref:555938612936. AvlBal:Rs41325.05.,Investment
Rs.4070.02 Dr. from A/C XXXXXXXX and Cr. to STOCK SELL. Ref:319460305275. AvlBal:Rs10699.07.,Investment
Rs.1379.62 Dr. from A/C XXXXXXXX and Cr. to ONLINE RECHARGE. Ref:538196517138. AvlBal:Rs5692.66.,Bills & Utilities
Rs.4181.85 Dr. from A/C XXXXXXXX and Cr. to SHELL. Ref:912468627678. AvlBal:Rs25103.75.,Transport
Rs.1978.89 Dr. from A/C XXXXXXXX and Cr. to POS TRANSPORT. Ref:117922931763. AvlBal:Rs31941.82.,Transport
Rs.1645.95 Dr. from A/C XXXXXXXX and Cr. to KUVERA. Ref:495116756476. AvlBal:Rs8966.96.,Investment
Rs.3675.6 Dr. from A/C XXXXXXXX and Cr. to ENTERTAINMENT. Ref:370122141302. AvlBal:Rs33139.81.,Entertainment
Rs.37.83 Dr. from A/C XXXXXXXX and Cr. to MSEB. Ref:892748291419. AvlBal:Rs21419.71.,Bills & Utilities
Rs.3819.75 Dr. from A/C XXXXXXXX and Cr. to UPI CASHBACK. Ref:347425479643. AvlBal:Rs43508.3.,Other
Rs.841.7 Dr. from A/C XXXXXXXX and Cr. to ENTERTAINMENT. Ref:903538230306. AvlBal:Rs28273.43.,Entertainment
Rs.3390.21 Dr. from A/C XXXXXXXX and Cr. to HEALTHCARE. Ref:645842611573. AvlBal:Rs7213.37.,Health
Rs.4710.01 Dr. from A/C XXXXXXXX and Cr. to EVENT BOOKING. Ref:854588643190. AvlBal:Rs41438.38.,Entertainment
Rs.784.81 Dr. from A/C XXXXXXXX and Cr. to SPENCERS. Ref:522190143077. AvlBal:Rs26085.72.,Groceries
Rs.2055.66 Dr. from A/C XXXXXXXX and Cr. to INDIAN RAILWAYS. Ref:610032352783. AvlBal:Rs32870.65.,Transport
Rs.3569.71 Dr. from A/C XXXXXXXX and Cr. to SUN NXT. Ref:853949110519. AvlBal:Rs44261.87.,Entertainment
Rs.727.97 Dr. from A/C XXXXXXXX and Cr. to LEARNING PLATFORM. Ref:320998403876. AvlBal:Rs13691.79.,Education
Rs.4503.93 Dr. from A/C XXXXXXXX and Cr. to ONLINE TRANSFER. Ref:773289617404. AvlBal:Rs21767.69.,Other
Rs.1114.29 Dr. from A/C XXXXXXXX and Cr. to GROWW. Ref:850128121205. AvlBal:Rs2539.91.,Investment
Rs.3869.59 Dr. from A/C XXXXXXXX and Cr. to MORE SUPERMARKET. Ref:639574626890. AvlBal:Rs40166.31.,Groceries
Rs.945.56 Dr. from A/C XXXXXXXX and Cr. to SNAPDEAL. Ref:836913315036. AvlBal:Rs22782.31.,Shopping
Rs.4307.68 Dr. from A/C XXXXXXXX and Cr. to TOPPR. Ref:956972814913. AvlBal:Rs35674.61.,Education
Rs.1295.45 Dr. from A/C XXXXXXXX and Cr. to ZERODHA. Ref:249595327577. AvlBal:Rs46849.22.,Investment
Rs.2742.82 Dr. from A/C XXXXXXXX and Cr. to BOOKMYSHOW. Ref:565394207131. AvlBal:Rs29515.5.,Entertainment
Rs.1358.68 Dr. from A/C XXXXXXXX and Cr. to HOSPITAL PAYMENT. Ref:610801626575. AvlBal:Rs47898.51.,Health
Rs.4867.34 Dr. from A/C XXXXXXXX and Cr. to SUBWAY. Ref:117626079044. AvlBal:Rs17499.52.,Food & Dining
Rs.488.83 Dr. from A/C XXXXXXXX and Cr. to FAMILY TRANSFER. Ref:687114961219. AvlBal:Rs47713.5.,Other
Rs.819.48 Dr. from A/C XXXXXXXX and Cr. to APOLLO HOSPITALS. Ref:724882674747. AvlBal:Rs14188.96.,Health
Rs.149.86 Dr. from A/C XXXXXXXX and Cr. to SUN NXT. Ref:420198103870. AvlBal:Rs33329.41.,Entertainment
Rs.4410.02 Dr. from A/C XXXXXXXX and Cr. to STREAMING. Ref:286385209400. AvlBal:Rs41432.78.,Entertainment
Rs.4965.13 Dr. from A/C XXXXXXXX and Cr. to SELF TRANSFER. Ref:992275628207. AvlBal:Rs7072.66.,Other
Rs.4143.96 Dr. from A/C XXXXXXXX and Cr. to FINANCIAL INVESTMENT. Ref:899128061559. AvlBal:Rs47232.75.,Investment
Rs.1472.69 Dr. from A/C XXXXXXXX and Cr. to HATHWAY. Ref:209278813732. AvlBal:Rs45185.8.,Bills & Utilities
Rs.2885.79 Dr. from A/C XXXXXXXX and Cr. to SPOTIFY. Ref:692324628935. AvlBal:Rs664.76.,Entertainment
Rs.889.13 Dr. from A/C XXXXXXXX and Cr. to STREAMING. Ref:327434063784. AvlBal:Rs38572.5.,Entertainment
Rs.1913.31 Dr. from A/C XXXXXXXX and Cr. to RELIANCE FRESH. Ref:691006841560. AvlBal:Rs7213.03.,Groceries
Rs.477.34 Dr. from A/C XXXXXXXX and Cr. to RELIANCE FRESH. Ref:962129017701. AvlBal:Rs47576.98.,Groceries
Rs.3680.43 Dr. from A/C XXXXXXXX and Cr. to UDEMY. Ref:620720049539. AvlBal:Rs47533.36.,Education
Rs.4156.25 Dr. from A/C XXXXXXXX and Cr. to ONLINE TRANSFER. Ref:811831643382. AvlBal:Rs46703.98.,Other
Rs.2547.27 Dr. from A/C XXXXXXXX and Cr. to TOLL PAYMENT. Ref:681021422752. AvlBal:Rs29955.77.,Transport
Rs.4928.08 Dr. from A/C XXXXXXXX and Cr. to CAB PAYMENT. Ref:133508975004. AvlBal:Rs33152.12.,Transport
Rs.1203.69 Dr. from A/C XXXXXXXX and Cr. to ZUDIO. Ref:264091531190. AvlBal:Rs20569.62.,Shopping
Rs.2853.78 Dr. from A/C XXXXXXXX and Cr. to AJIO. Ref:525684166256. AvlBal:Rs49613.14.,Shopping
Rs.4975.33 Dr. from A/C XXXXXXXX and Cr. to VIJAY SALES. Ref:192213715101. AvlBal:Rs48862.8.,Shopping
Rs.3584.98 Dr. from A/C XXXXXXXX and Cr. to ZEE5. Ref:874460752384. AvlBal:Rs21225.48.,Entertainment
Rs.1946.72 Dr. from A/C XXXXXXXX and Cr. to GAANA. Ref:356516867509. AvlBal:Rs19443.63.,Entertainment
Rs.4483.45 Dr. from A/C XXXXXXXX and Cr. to LIFESTYLE. Ref:931851437206. AvlBal:Rs40280.93.,Shopping
Rs.601.79 Dr. from A/C XXXXXXXX and Cr. to SPAR. Ref:410469600002. AvlBal:Rs44197.04.,Groceries
Rs.3812.59 Dr. from A/C XXXXXXXX and Cr. to SARAVANA BHAVAN. Ref:690147643929. AvlBal:Rs30450.42.,Food & Dining
Rs.4775.75 Dr. from A/C XXXXXXXX and Cr. to FOOD ORDER. Ref:771963014372. AvlBal:Rs19801.64.,Food & Dining
Rs.4590.92 Dr. from A/C XXXXXXXX and Cr. to METRO RAIL. Ref:811395388433. AvlBal:Rs35232.4.,Transport
Rs.74.83 Dr. from A/C XXXXXXXX and Cr. to ZUDIO. Ref:817153147260. AvlBal:Rs23427.84.,Shopping
Rs.1204.4 Dr. from A/C XXXXXXXX and Cr. to PETROL BUNK. Ref:266278087677. AvlBal:Rs16112.42.,Transport
Rs.3290.24 Dr. from A/C XXXXXXXX and Cr. to COLLEGE FEES. Ref:287431701698. AvlBal:Rs28552.24.,Education
Rs.3338.58 Dr. from A/C XXXXXXXX and Cr. to BIGBASKET DAILY. Ref:800308024350. AvlBal:Rs22405.64.,Groceries
Rs.1145.07 Dr. from A/C XXXXXXXX and Cr. to BIGBASKET. Ref:552235810913. AvlBal:Rs27296.5.,Groceries
Rs.2688.1 Dr. from A/C XXXXXXXX and Cr. to EDX. Ref:575843119681. AvlBal:Rs29510.28.,Education
Rs.3551.8 Dr. from A/C XXXXXXXX and Cr. to NETFLIX. Ref:330885947657. AvlBal:Rs29609.14.,Entertainment
Rs.3868.07 Dr. from A/C XXXXXXXX and Cr. to DOMINOS. Ref:499066015438. AvlBal:Rs42479.97.,Food & Dining
Rs.4489.02 Dr. from A/C XXXXXXXX and Cr. to INDANE. Ref:594257988120. AvlBal:Rs36283.17.,Bills & Utilities
Rs.2743.59 Dr. from A/C XXXXXXXX and Cr. to MORE SUPERMARKET. Ref:647000518025. AvlBal:Rs21018.14.,Groceries
Rs.172.06 Dr. from A/C XXXXXXXX and Cr. to HP PETROL. Ref:825043938451. AvlBal:Rs3895.09.,Transport
Rs.1480.33 Dr. from A/C XXXXXXXX and Cr. to SPENCERS. Ref:321112452722. AvlBal:Rs9769.99.,Groceries
Rs.836.48 Dr. from A/C XXXXXXXX and Cr. to CAFE. Ref:211021188180. AvlBal:Rs39248.55.,Food & Dining
Rs.3924.4 Dr. from A/C XXXXXXXX and Cr. to SARAVANA BHAVAN. Ref:686788970570. AvlBal:Rs34928.02.,Food & Dining
Rs.1681.48 Dr. from A/C XXXXXXXX and Cr. to POS SHOP. Ref:798334952298. AvlBal:Rs9554.34.,Shopping
Rs.3514.35 Dr. from A/C XXXXXXXX and Cr. to EATSURE. Ref:364566024319. AvlBal:Rs33268.25.,Food & Dining
Rs.1580.08 Dr. from A/C XXXXXXXX and Cr. to RELIANCE DIGITAL. Ref:595559344888. AvlBal:Rs7243.73.,Shopping
Rs.1710.93 Dr. from A/C XXXXXXXX and Cr. to ZEE5. Ref:925907129293. AvlBal:Rs3643.42.,Entertainment
Rs.1178.7 Dr. from A/C XXXXXXXX and Cr. to POS TRANSPORT. Ref:936159732841. AvlBal:Rs46486.45.,Transport
Rs.1678.83 Dr. from A/C XXXXXXXX and Cr. to PAYTM MONEY. Ref:383242580721. AvlBal:Rs35448.8.,Investment
Rs.363.47 Dr. from A/C XXXXXXXX and Cr. to MX PLAYER. Ref:450464452225. AvlBal:Rs23702.15.,Entertainment
Rs.1885.55 Dr. from A/C XXXXXXXX and Cr. to GROWW. Ref:251076193333. AvlBal:Rs23246.2.,Investment
Rs.1026.47 Dr. from A/C XXXXXXXX and Cr. to MISC. Ref:430367942478. AvlBal:Rs14908.25.,Other
Rs.1241.3 Dr. from A/C XXXXXXXX and Cr. to MEDICAL STORE. Ref:644451978258. AvlBal:Rs32025.01.,Health
Rs.1315.64 Dr. from A/C XXXXXXXX and Cr. to ECOM PURCHASE. Ref:894503011684. AvlBal:Rs25668.47.,Shopping
Rs.780.6 Dr. from A/C XXXXXXXX and Cr. to UTILITY BILL. Ref:660913553730. AvlBal:Rs5731.79.,Bills & Utilities
Rs.4886.48 Dr. from A/C XXXXXXXX and Cr. to MUTUAL FUND SIP. Ref:638925800173. AvlBal:Rs22129.42.,Investment
Rs.488.42 Dr. from A/C XXXXXXXX and Cr. to TNEB. Ref:217789400051. AvlBal:Rs35415.5.,Bills & Utilities
Rs.4508.04 Dr. from A/C XXXXXXXX and Cr. to RELIANCE FRESH. Ref:310012068702. AvlBal:Rs42742.26.,Groceries
Rs.3179.74 Dr. from A/C XXXXXXXX and Cr. to UPI CASHBACK. Ref:290817192899. AvlBal:Rs10341.43.,Other
Rs.4952.83 Dr. from A/C XXXXXXXX and Cr. to RELIANCE FRESH. Ref:121324784539. AvlBal:Rs29576.7.,Groceries
Rs.4426.15 Dr. from A/C XXXXXXXX and Cr. to BLOOD TEST. Ref:683917928149. AvlBal:Rs36967.91.,Health
Rs.3258.72 Dr. from A/C XXXXXXXX and Cr. to TOLL PLAZA. Ref:355011217959. AvlBal:Rs21041.82.,Transport
Rs.4894.18 Dr. from A/C XXXXXXXX and Cr. to SONY LIV. Ref:644793424439. AvlBal:Rs25243.1.,Entertainment
Rs.702.78 Dr. from A/C XXXXXXXX and Cr. to UDEMY. Ref:488616234066. AvlBal:Rs139.67.,Education
Rs.694.02 Dr. from A/C XXXXXXXX and Cr. to BOX8. Ref:329268425168. AvlBal:Rs40434.92.,Food & Dining
Rs.1026.59 Dr. from A/C XXXXXXXX and Cr. to DOCTOR CONSULT. Ref:750971458166. AvlBal:Rs16355.04.,Health
Rs.2495.6 Dr. from A/C XXXXXXXX and Cr. to CHAI POINT. Ref:630126021189. AvlBal:Rs34288.79.,Food & Dining
Rs.3825.57 Dr. from A/C XXXXXXXX and Cr. to POS GROCERY. Ref:778373432181. AvlBal:Rs22431.99.,Groceries
Rs.645.22 Dr. from A/C XXXXXXXX and Cr. to MERCHANT STORE. Ref:664519849835. AvlBal:Rs2895.13.,Shopping
Rs.3339.04 Dr. from A/C XXXXXXXX and Cr. to COLLEGE FEES. Ref:762982711483. AvlBal:Rs18158.33.,Education
Rs.4397.93 Dr. from A/C XXXXXXXX and Cr. to EDX. Ref:977851808121. AvlBal:Rs40124.51.,Education
Rs.4434.79 Dr. from A/C XXXXXXXX and Cr. to METRO. Ref:810676441211. AvlBal:Rs39468.43.,Transport
Rs.188.16 Dr. from A/C XXXXXXXX and Cr. to SCAN CENTER. Ref:597457099226. AvlBal:Rs8681.53.,Health
Rs.1838.77 Dr. from A/C XXXXXXXX and Cr. to IKEA. Ref:463179052110. AvlBal:Rs20549.68.,Shopping
